id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
"1267516,""Suites in Antwerp:""""Suite Frederik"""""",5758428,Philip-Emmanuel,,Zurenborg,51.207,4.42702,Entire home/apt,179,1,3,2013-10-13,0.03,2,365";;;;;;;;;;;;;;;
1328770;Cosy historic Ship Hannus  Antwerp;4193029;Jan;;Eilandje;5.122.875;440.254;Private room;66;1;136;19/07/2020;1.50;2;353
1405414;bright apartment with parkview;4870468;Debora - Jo;;Stadspark;5.121.388;441.573;Entire home/apt;90;3;98;9/03/2020;1.09;1;120
1427505;Trendy apartment near city park !;7672678;Mark;;Stadspark;5.121.205;441.315;Entire home/apt;67;10;41;31/10/2019;0.45;1;362
"1504952,""""""Antwerp B&B"""""",573329,Patricia,,Centraal Station,51.21692,4.42749,Private room,100,1,55,2020-09-09,0.61,1,364";;;;;;;;;;;;;;;
1577011;New and bright apartment in center;8382721;Rien;;Stuivenberg;5.122.105;442.809;Entire home/apt;65;4;33;1/11/2019;0.37;1;355
1585405;Relax and enjoy Antwerp :-);8446724;Vera;;Deurne Dorp - Gallifort;5.122.337;446.923;Private room;38;3;196;5/08/2020;2.19;1;361
1666809;Duplex apartment/loft close to MAS with parking;4127444;Maarten;;Historisch Centrum;5.122.493;440.333;Entire home/apt;75;2;6;19/11/2020;0.59;1;266
"1708652,""Suites in Antwerp: """"suite Joachim"""""",5758428,Philip-Emmanuel,,Zurenborg,51.20828,4.42645,Entire home/apt,74,2,2,2020-01-06,0.14,2,364";;;;;;;;;;;;;;;
1791465;Lovely flat in trendy neighborhood;9399334;Dirk & Leen;;Borgerhout Intra Muros Noord;5.121.406;443.907;Entire home/apt;51;3;75;30/11/2020;0.86;1;245
1808782;LOFT 1D  - conceptual loft;9478810;Keith;;Sint-Andries;5.121.232;439.571;Entire home/apt;112;2;188;23/12/2020;2.19;1;315
2059299;Casual house nicely located;7034290;Kwinten;;Haringrode;5.120.202;441.754;Private room;23;2;37;30/11/2020;1.07;2;158
2059774;spacious and comfortable apartment;8689159;Agnes;;Oud - Berchem;5.119.714;441.722;Entire home/apt;85;6;12;22/02/2020;0.14;1;362
2069688;Authentic centre Antwerp: cozy view;10583986;Amada;;Historisch Centrum;5.122.642;4.401;Entire home/apt;60;1;139;6/03/2020;1.63;1;364
2086302;Cozy apartment in Antwerp-Berchem;4218557;Anke;;Groenenhoek;511.958;44.392;Entire home/apt;45;30;12;10/06/2019;0.14;1;203
2133274;Middelheim Guest House;10885207;Armand;;Oosterveld - Elsdonk;5.117.635;442.433;Private room;75;1;13;26/02/2020;0.22;1;365
2154692;Authentic and very light studio in Antwerp;44988374;Tijs;;Stuivenberg;5.122.725;443.552;Entire home/apt;59;2;32;9/03/2020;0.77;1;365
2194840;Fully equiped Appartement;11087865;Rooms Antwerpen;;Universiteitsbuurt;512.234;441.389;Entire home/apt;39;1;458;16/08/2020;5.42;5;361
2230592;Loft near Sportpaleis;3488121;Jan;;Deurne Noord;5.122.979;444.464;Private room;55;1;37;9/02/2020;0.44;2;90
2347414;The chill place in Antwerp 2;3189018;Cathy;;Borgerhout Intra Muros Noord;5.121.711;444.417;Private room;85;2;1;24/04/2017;0.02;3;179
2427717;Cosy vintage flat ° center Antwerp;12409903;Annick;;Theaterbuurt-Meir;5.121.659;44.073;Entire home/apt;110;1;301;26/07/2020;3.62;2;274
2433570;charming place on a quiet and green courtyard;12411315;Sophie;;Stuivenberg;5.122.154;44.383;Private room;49;2;103;9/03/2020;1.25;1;365
2436964;NEW - Quiet loft in city center w/ private parking;10891625;Yves;;Historisch Centrum;5.122.257;440.394;Entire home/apt;105;2;62;12/07/2020;2.55;1;75
2448815;MAISON NATIONALE City Flats&Suites;12523959;Tom;;Sint-Andries;5.121.699;440.014;Private room;165;1;0;;;1;0
2522970;Luxury city center apartment  with terrace;12917758;Bart;;Theaterbuurt-Meir;5.121.861;440.964;Entire home/apt;136;1;253;28/12/2020;3.06;1;295
2543695;aplace/antwerp: gorgeous flat with square view;234077;Karin;;Historisch Centrum;5.121.825;439.901;Entire home/apt;186;2;12;7/12/2018;0.16;4;341
2602613;Light and spacious duplex apartment;13330269;Joelle;;Borgerhout Intra Muros Noord;5.121.611;443.234;Entire home/apt;65;2;148;12/10/2020;1.80;1;361
2609419;Gezellig 1-slpk app. op toplocatie;10342058;Sofie & Manu;;Zuid;5.120.539;438.821;Entire home/apt;65;1;29;30/06/2018;0.39;1;230
2682808;Cosy room in a charming house;13733939;Anneke;;Oud - Berchem;511.976;442.955;Private room;33;2;353;18/12/2020;4.30;1;365
2762341;Comfortable studio downtown Antwerp;5398498;Martine;;Amandus - Atheneum;5.122.222;441.709;Entire home/apt;59;4;14;16/08/2019;0.17;1;59
"2819412,""laterrebleue-'my house, your house'"",14423888,Fatima,,Borgerhout Intra Muros Zuid,51.20914,4.43539,Shared room,36,1,112,2020-01-02,1.65,1,361";;;;;;;;;;;;;;;
2819790;Bohemian Republic- Grand-Suite.;4261413;Jackie;;Oud - Berchem;5.120.056;443.333;Private room;340;1;26;24/11/2019;0.32;15;365
2820108;Beds in Antwerp City!;4261413;Jackie;;Oud - Berchem;5.120.179;443.163;Shared room;43;1;101;18/08/2019;1.24;15;365
2843276;The Old charming Lady;4261413;Jackie;;Oud - Berchem;5.120.143;443.312;Private room;48;1;53;30/08/2015;0.65;15;365
2918528;Shared Rooms Or Private in the City!;4261413;Jackie;;Oud - Berchem;5.120.031;443.252;Shared room;19;1;90;24/09/2020;1.12;15;365
3025379;#�NOMBRE?;3185214;Annemie;;Borgerhout Intra Muros Zuid;5.121.066;442.863;Entire home/apt;140;2;173;2/02/2020;2.19;4;264
"3048594,Unique huge loft with private pool and big garden.,6930093,""Ian, Jande En Marie"",,Borgerhout Intra Muros Noord,51.21571,4.43311,Entire home/apt,246,2,235,2020-12-04,2.92,3,87";;;;;;;;;;;;;;;
"3197919,""100 years old """"master mansion""""."",16207518,Michael,,Harmonie,51.20688,4.40645,Entire home/apt,230,3,10,2019-07-28,0.14,1,1";;;;;;;;;;;;;;;
3202647;Penthouse +Terrace @CentralStation;10614479;Steven;;Stadspark;5.121.757;441.641;Entire home/apt;72;7;38;6/12/2020;0.57;1;364
3203133;Cosy flat in trendy neighbourhood;13572444;Vincent;;Zurenborg;5.120.658;442.614;Entire home/apt;35;20;11;20/09/2019;0.14;1;304
