id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
"89756,""bcn-rentals.com nº 1, just 7-10 min to Ramblas"",488117,David Y Maria,Ciutat Vella,el Raval,41.37815,2.16894,Entire home/apt,240,6,16,2019-10-19,0.16,8,273"
89776,Modernist flat Downtown Casa Estapé | Barcelona,488151,Pols,Eixample,la Dreta de l'Eixample,41.39149,2.17818,Entire home/apt,85,3,336,2020-03-10,3.03,1,357
"95719,Lovely room  in the heart of Barcelona with A/C,509260,Dalila,Ciutat Vella,""Sant Pere, Santa Caterina i la Ribera"",41.3839,2.18011,Private room,53,2,232,2020-02-24,1.97,2,365"
97529,CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT,497450,Francesc,Horta-Guinardó,el Baix Guinardó,41.40913,2.16627,Entire home/apt,40,32,64,2019-08-23,0.58,1,291
"100256,""BARCELONA CENTRO EN LA PLAYA ,WIFI"",527201,Peca,Ciutat Vella,la Barceloneta,41.37983,2.19249,Entire home/apt,45,32,63,2020-12-01,0.60,2,359"
104485,Best Location guarantee!,543801,Pinar,Eixample,l'Antiga Esquerra de l'Eixample,41.39119,2.15641,Private room,26,1,204,2020-12-06,1.79,1,62
"107437,Beautiful villa! in the forest and near the city,556626,Cristina,Sarrià-Sant Gervasi,""Vallvidrera, el Tibidabo i les Planes"",41.42864,2.09159,Entire home/apt,163,2,64,2020-12-13,0.56,2,316"
110041,002. Alió 2 Apartment,396363,Alcambarcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,92,2,27,2020-10-10,0.26,92,362
110098,023. Gignàs Gótic Apartment,396363,Alcambarcelona,Ciutat Vella,el Barri Gòtic,41.38126,2.1801,Entire home/apt,84,2,33,2020-10-18,0.29,92,349
112538,✨Design Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,98,4,80,2020-07-15,0.69,19,145
117010,✨Spacious Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40647,2.17457,Entire home/apt,98,2,35,2018-11-21,0.31,19,149
118228,✨Bright apt views Sagrada Familia / Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,97,2,15,2017-02-19,0.13,19,113
