Country Name,Country Code,Series Name,Series Code,1995Q1 [YR1995Q1],1995Q2 [YR1995Q2],1995Q3 [YR1995Q3],1995Q4 [YR1995Q4],1996Q1 [YR1996Q1],1996Q2 [YR1996Q2],1996Q3 [YR1996Q3],1996Q4 [YR1996Q4],1997Q1 [YR1997Q1],1997Q2 [YR1997Q2],1997Q3 [YR1997Q3],1997Q4 [YR1997Q4],1998Q1 [YR1998Q1],1998Q2 [YR1998Q2],1998Q3 [YR1998Q3],1998Q4 [YR1998Q4],1999Q1 [YR1999Q1],1999Q2 [YR1999Q2],1999Q3 [YR1999Q3],1999Q4 [YR1999Q4],2000Q1 [YR2000Q1],2000Q2 [YR2000Q2],2000Q3 [YR2000Q3],2000Q4 [YR2000Q4],2001Q1 [YR2001Q1],2001Q2 [YR2001Q2],2001Q3 [YR2001Q3],2001Q4 [YR2001Q4],2002Q1 [YR2002Q1],2002Q2 [YR2002Q2],2002Q3 [YR2002Q3],2002Q4 [YR2002Q4],2003Q1 [YR2003Q1],2003Q2 [YR2003Q2],2003Q3 [YR2003Q3],2003Q4 [YR2003Q4],2004Q1 [YR2004Q1],2004Q2 [YR2004Q2],2004Q3 [YR2004Q3],2004Q4 [YR2004Q4],2005Q1 [YR2005Q1],2005Q2 [YR2005Q2],2005Q3 [YR2005Q3],2005Q4 [YR2005Q4],2006Q1 [YR2006Q1],2006Q2 [YR2006Q2],2006Q3 [YR2006Q3],2006Q4 [YR2006Q4],2007Q1 [YR2007Q1],2007Q2 [YR2007Q2],2007Q3 [YR2007Q3],2007Q4 [YR2007Q4],2008Q1 [YR2008Q1],2008Q2 [YR2008Q2],2008Q3 [YR2008Q3],2008Q4 [YR2008Q4],2009Q1 [YR2009Q1],2009Q2 [YR2009Q2],2009Q3 [YR2009Q3],2009Q4 [YR2009Q4],2010Q1 [YR2010Q1],2010Q2 [YR2010Q2],2010Q3 [YR2010Q3],2010Q4 [YR2010Q4],2011Q1 [YR2011Q1],2011Q2 [YR2011Q2],2011Q3 [YR2011Q3],2011Q4 [YR2011Q4],2012Q1 [YR2012Q1],2012Q2 [YR2012Q2],2012Q3 [YR2012Q3],2012Q4 [YR2012Q4],2013Q1 [YR2013Q1],2013Q2 [YR2013Q2],2013Q3 [YR2013Q3],2013Q4 [YR2013Q4],2014Q1 [YR2014Q1],2014Q2 [YR2014Q2],2014Q3 [YR2014Q3],2014Q4 [YR2014Q4],2015Q1 [YR2015Q1],2015Q2 [YR2015Q2],2015Q3 [YR2015Q3],2015Q4 [YR2015Q4],2016Q1 [YR2016Q1],2016Q2 [YR2016Q2],2016Q3 [YR2016Q3],2016Q4 [YR2016Q4],2017Q1 [YR2017Q1],2017Q2 [YR2017Q2],2017Q3 [YR2017Q3],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4]
Albania,ALB,Gross PSD - Total - All maturities - All instruments - Domestic creditors - Nominal Value - US$,DP.DOD.DECD.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098239592,4077142272.3809,3842048215.5022,3693871027.95183,4132783098.04917,3870101105.44058,4256568602.85361,4425332923.5403,4161304792.3475,4170354125.22,4250571036.74992,4126806730.99356,4530486274782,4649196688.69254,4705355390.61702,7104739636019,7461785344.44762,8051598429.20114,7530563663.87975,7605603942.7781,7413577652.01366,7076418728.29992,6468054339.37074,6824319945.9425,7389215889.32891,6900619511.88489,6831801630.87906,7175104840.37348,7165109916.40956,7069475666994,7184116899.01819,7832803860.14664,8157783258.84449,8582931019.48122,8899611179.38114,8702528880.53072,9089518588.91248,9260168368707,9766709484,9107545130.00278,8941896949.59713,
Albania,ALB,Gross PSD - Total - All maturities - All instruments - Domestic currency - Nominal Value - US$,DP.DOD.DECN.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098239592,4077142272.3809,3863101356.5947,3650834683711,4085757964641,3831770238.52273,4217457787907,4385145270.91,4123819045.4735,4115116578.9,4153884226.21392,4035683625.54,4372504908.07,4479631930.02,4526467932.66022,6398814280.86,6726981772.21674,7085546271496,6782328527715,6856628793.0637,6508858986504,6387687381.75822,5744726280.33377,6083287911.12527,6196783072.89133,5966057548.29478,5950546609.65021,6389493779.66885,6458558394.92174,6006197020.2,6060250251.19987,6714797641.42593,6945546096.99496,7293334490523,7651792018.90927,7621291300.70988,7755566258.28892,7628783023.8,8230376090,7707549487.41759,7691327976.72336,
Albania,ALB,Gross PSD - Total - All maturities - All instruments - External creditors - Nominal Value - US$,DP.DOD.DECX.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542220757.68221,2528560979.02921,2490144888.20096,2353557729.11698,2574750681.65497,2712740697.9927,2848419571.94612,2946781754.83067,2904819758.30657,2912855335.64,2898899371.29991,2848092298.02379,3147016246.80653,3198307311.61607,3031315808.36864,3084526102.91479,3280295455.61105,3690848200.13208,3269397807.78711,3343523442.60377,3373152825.46133,3305636119.21258,3141854628.10084,3216360176.41995,3513549949.05616,3665028075.43751,3731630764.76265,3779104831.16997,3826328986.02889,3643769220,3773866281.28037,3932742349.28435,4101537081.74528,4279543169.16312,4382702325.65811,4153883714.21327,4158949160.33181,4434350832.9857,4899129516.05832,4374384799.83165,4222248674.25992,
Albania,ALB,Gross PSD - Total - All maturities - All instruments - Foreign currency - Nominal Value - US$,DP.DOD.DECF.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542220757.68221,2528560979.02921,2469091747.10846,2396596316.71756,2621775815.06314,2751071564.91055,2887530386.89273,2986969407.46097,2942301857.99757,2968088083035,2995587132.40621,2939215403.47735,3304997613.51853,3367872070.28861,3210203266.32544,3790451458.07379,4015099027.84193,4656900357.83722,4017632943.95186,4092498592.31817,4277871490.97099,3994367481.85109,3865179808.77909,3957392211.23718,4705978741.02474,4599590039.02762,4612885785.9915,4564715891.87461,4532882951.70761,4707050117.49793,4897736070.29549,5050751147.54066,5313777771.86522,5569142398.39134,5630521486.12998,5235121294.03411,5492901490.95537,6065736177.8927,6435462910.05832,5774380442.41685,5472817647.13369,
Albania,ALB,Gross PSD - Total - All maturities - All instruments - Nominal Value - US$,DP.DOD.DECT.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6640460349.68221,6605703251.41011,6332193103.70316,6047428757.06881,6707533779.70414,6582841803.43328,7104988174.79973,7372114678.37097,7066124550.65406,7083209460.86,7149470122.87874,6974899029.01734,7677502521.58853,7849324172.6926,7736671198.98566,10189265738.9338,10742080800.0587,11742446629.3332,10799961471.6668,10949127385.3819,10786730477475,10382054847.5125,9609908967.47156,10040680203975,10902765757.8957,10565647587.3224,10563432316.1441,10954209671.5434,10991438983.9115,10713244641698,10957983180.2986,11765545951.4775,12259320325.8205,12862473828.6083,13282313505.0393,12856412594744,13248467749.2443,13694519201.6927,14665839000.0583,13481929929.8344,13164145623857,
Albania,ALB,Gross PSD - Total - All maturities - Currency and deposits - Nominal Value - US$,DP.DOD.DLCD.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3033864171.2,3176324107.5,3552951951.1,3215699442.8,3237550470,3263785542,3042549683.24221,2825683227.43627,2991861113.32325,2910842085134,3265482152.79434,3152563982238,3324307695632,3330364900007,3381697800,3385071466.56,3636534705908,3822748668.26,4138370795.7,4152079464.84,4033533598542,4359926295084,4555778580,4750590000,4393444145.23168,4383178155.77439,
Albania,ALB,Gross PSD - Total - All maturities - Debt Securities - Market value - US$,DP.DOD.DLDS.CR.MV.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - All maturities - Debt securities - Nominal Value - US$,DP.DOD.DLDS.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098239592,4077142272.3809,3863101356.5947,3681443084.14,4118371802.85,4263962563.50273,4666952962165,4843621918.75,4552250657.15,4526379652475,4565445329.61361,4423563080.04,4819790154.27,4937154013.29,4974148909.20203,4323335255.82,4569430315.60674,4788217884873,4582455241455,4657506491.8137,4398507577242,4266094220.25514,3845429074.48519,4053470653.81859,4684173078.24894,4000347515.70077,4028619387.92927,4163382020.35771,4144716676.30962,3974911122,4086305015.43936,4507869759.36204,4654504631.87092,4768892661582,5083026739.45912,4983316200.75024,5039514381.50313,5315003620.6176,5683375641,5303554731.17281,5123674127.12623,
Albania,ALB,Gross PSD - Total - All maturities - Insurance - pensions - and standardized guarantee schemes - Nominal Value - US$,DP.DOD.DLIN.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - All maturities - Loans - Nominal Value - US$,DP.DOD.DLLO.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468944220.2332,2456008203.44343,2398505876.0562,2297464867.44306,2517060148.52797,2247345836.66921,2364659369.40944,2454299788.72554,2441075516.58758,2483456164705,2512252080.07351,2481173904.24834,2788089944.55001,2841713925.66792,2695768394.02187,2749529111.73152,2923634194.5596,3324331501.61727,2914322703.20139,2979987503.98752,3053755952.35726,3000398732.48777,2865925434.83805,2928909927.18134,3241229013.8848,3233720541.53228,3317619326.27057,3400275200.03559,3449647924.81472,3291488944.8482,3421668994.55847,3554251073.3853,3713907851.43917,3885953168.47112,3977532858.12726,3771974452.10639,3780873692.62084,3754242485.27914,4157348601.45322,3718300701.6489,3590860540.4917,
